商品防伪码,有效日期,产品类型,代理商,代理区域,二维码字符串
SN1512451241,2020-12-30,产品名称,A,B,127.0.0.4/989/qrcode.php?bianhao=SN1512451241
SN201654745142,2018-12-30,移动电源,张三,江西,127.0.0.4/989/qrcode.php?bianhao=SN201654745142
App20140120,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140120
App20140119,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140119
App20140118,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140118
App20140117,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140117
App20140116,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140116
App20140115,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140115
App20140114,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140114
App20140113,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140113
App20140112,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140112
App20140111,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140111
App20140110,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140110
App20140109,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140109
App20140108,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140108
App20140107,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140107
App20140106,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140106
App20140105,2015-12-31,苹果6,保修,维修,127.0.0.4/989/qrcode.php?bianhao=App20140105
JX1638849115,2018-1-20,移动电源,张三,江西,127.0.0.4/989/qrcode.php?bianhao=JX1638849115
JX8633566423,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX8633566423
JX0990283802,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX0990283802
JX5048712845,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX5048712845
JX5152218106,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX5152218106
JX7796323698,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX7796323698
JX7235258472,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX7235258472
JX3125710344,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX3125710344
JX8799553546,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX8799553546
JX4989113561,2018-1-20,移动电源,江西,张三,127.0.0.4/989/qrcode.php?bianhao=JX4989113561
